,Hospital,Address,Phone Number
0,Advent Health Gordon,"1035 Red Bud Rd NE, Calhoun, GA 30701",(706) 602-7800
1,Polk Medical Center,"2360 Rockmart Hwy, Cedartown, GA 30125",(770) 748-2500
2,Wellstar Paulding Hospital,"2518 Jimmy Lee Smith Pkwy, Hiram, GA 30141",(470) 644-7000
3,Northside - Cherokee Hospital,"450 Northside Cherokee Blvd, Canton, GA 30115",(770) 224-1000
4,Cartersville Medical Ctr,"960 Joe Frank Harris Pkwy SE, Cartersville, GA 30120",(470) 490-1000
5,Piedmont Mountainside,"1266 GA-515, Jasper, GA 30143",(706) 692-2441
6,HCC-C Tanner Higgins,"200 Allen Memorial Dr, Bremen, GA 30110",(770) 812-2000
7,Floyd Medical Center,"304 Turner McCall Blvd, Rome, GA 30161",(706) 509-5000
8,Advent Health Murray,"707 Old Dalton Ellijay Rd, Chatsworth, GA 30705",(706) 695-4564
9,Fannin Regional,"2855 Old Hwy 5 North, Blue Ridge, GA 30513",(706) 632-3711
10,Redmond Regional Medical Ctr,"501 Redmond Rd, Rome, GA 30165",(706) 291-0291
11,Hamilton Medical Center,"1200 Memorial Dr, Dalton, GA 30720",(706) 272-6195
12,CHI Memorial GA,"100 Gross Crescent, Fort Oglethorpe, GA 30742",(706) 858-2000
13,Northside - Forsyth Hospital,"1200 Northside Forsyth Dr, Cumming, GA 30041",(770) 844-3200
14,St. Marys Sacred Heart Hospital,"367 Clear Creek Dr, Lavonia, GA 30553",(706) 356-7800
15,NGMC Lumpkin,"227 Mountain Dr, Dahlonega, GA 30533",(770) 219-9000
16,NGMC Braselton,"1400 River Place, Braselton, GA 30517",(770) 848-8000
17,NGMC Gainesville RCH,"743 Spring Street, Gainesville, GA 30501",(770) 219-9000
18,Mountain Lakes Medical Center,"162 Legacy Point, Clayton, GA 30525",(706) 782-3100
19,Stephens County Hospital,"163 Hospital Rd, Toccoa, GA 30577",(706) 282-4200
20,Habersham Medical Center,"541 Historic Hwy #441-N, Demorest, GA 30535",(706) 754-2161
21,Union General Hospital,"35 Hospital Rd, Blairsville, GA 30512",(706) 745-2111
22,Chatuge Regional Hospital,"110 S Main St, Hiawassee, GA 30546",(706) 896-2222
23,CHOA - Egleston,"1405 Clifton Rd NE, Atlanta, GA 30322",(404) 785-5437
24,Grady Health System,"80 Jesse Hill Jr Dr SE, Atlanta, GA 30303",(404) 616-1000
25,Emory - University Hospital,"1364 Clifton Rd, Atlanta, GA 30322",(404) 712-2000
26,Eastside Medical Center,"1700 Medical Way, Snellville, GA 30078",(770) 979-0200
27,Northside - Atlanta Hospital,"1000 Johnson Ferry Rd NE, Atlanta, GA 30342",(404) 851-8000
28,Emory - Hillandale Hospital,"2801 Dekalb Medical Pkwy, Lithonia, GA 30058",(404) 501-8000
29,CHOA - Hughes Spalding,"35 Jesse Hill Jr Dr SE, Atlanta, GA 30303",(404) 785-5437
30,WellStar - AMC,"303 Parkway Dr NE, Atlanta, GA 30312",(404) 265-4000
31,Emory - St. Joseph's Hospital,"5665 Peachtree Dunwoody Rd, Atlanta, GA 30342",(678) 843-7001
32,Southern Regional Medical Center,"11 Upper Riverdale Rd, Riverdale, GA 30274",(770) 991-8000
33,WellStar - AMC South,"1170 Cleveland Ave, Atlanta, GA 30344",(404) 466-1170
34,Emory - Decatur Hospital,"2701 N Decatur Rd, Decatur, GA 30033",(404) 501-1000
35,Emory - University Hospital Midtown,"550 Peachtree St NE, Atlanta, GA 30308",(404) 686-4411
36,Piedmont - Atlanta Hospital,"1968 Peachtree Rd NW, Atlanta, GA 30309",(404) 605-5000
37,WellStar - North Fulton Hospital,"3000 Hospital Blvd, Roswell, GA 30076",(770) 751-2500
38,Wellstar Cobb Hospital,"3950 Austell Rd SW, Austell, GA 30106",(470) 732-4000
39,Wellstar Douglas Hospital,"8954 Hospital Dr, Douglasville, GA 30134",(770) 949-1500
40,Northside - Duluth Hospital,"3620 Howell Ferry Rd NW, Duluth, GA 30096",(678) 312-6800
41,Northside - Gwinnett,"1000 Medical Center Blvd, Lawrenceville, GA 30046",(678) 312-1000
42,Emory - Johns Creek Hospital,"6325 Hospital Pkwy, Johns Creek, GA 30097",(678) 474-7000
43,WellStar Kennestone Hospital,"677 Church St, Marietta, GA 30060",(770) 793-5000
44,Atlanta VA Health Care System,"1513 Cleveland Ave building 300, East Point, GA 30344",(404) 321-6111
45,Piedmont - Newton Hospital,"5126 Hospital Dr NE, Covington, GA 30014",(770) 786-7053
46,CHOA - Scottish Rite,"1001 Johnson Ferry Rd NE, Atlanta, GA 30342",(404) 785-5437
47,Emory University Orthopaedics and Spine Hospital,"1455 Montreal Rd E, Tucker, GA 30084",(404) 251-3000
48,GWCC ACF,"285 Andrew Young International Blvd NW, Atlanta, GA 30313",(404) 223-4000
49,WellStar West Georgia Medical Center,"1514 Vernon Rd, LaGrange, GA 30240",(706) 882-1411
50,Piedmont Henry Hospital,"1133 Eagle's Landing Parkway, Stockbridge, GA 30281",(678) 604-1000
51,Piedmont - Fayette Hospital,"1255 Highway 54 West, Fayetteville, GA 30214",(770) 719-7000
52,Piedmont Newnan,"745 Poplar Rd, Newnan, GA 30265",(770) 400-1000
53,WellStar Spalding Regional Hospital,"601 S 8th St, Griffin, GA 30224",(770) 228-2721
54,WellStar Sylvan Grove Hospital,"1050 McDonough Rd, Jackson, GA 30233",(770) 775-7861
55,Upson Regional Medical Center,"801 W Gordon St, Thomaston, GA 30286",(706) 647-8111
56,Tanner Medical Center Carrollton,"705 Dixie St, Carrollton, GA 30117",(770) 812-9666
57,Tanner Medical Center Villa Rica,"601 Dallas Hwy, Villa Rica, GA 30180",(770) 812-3000
58,Warm Springs Medical Center,"5995 Spring St, Warm Springs, GA 31830",(706) 655-3331
59,Dodge County Hospital,"901 Griffin Ave, Eastman, GA 31023",(478) 448-4000
60,Fairview Park Hospital,"200 Industrial Blvd, Dublin, GA 31021",(478) 275-2000
61,Perry Hospital,"1120 Morningside Dr, Perry, GA 31069",(478) 987-3600
62,Coliseum Northside Hospital,"400 Charter Blvd, Macon, GA 31210",(478) 757-8200
63,Coliseum Medical Center,"350 Hospital Dr, Macon, GA 31217",(478) 765-7000
64,Medical Center of Peach County,"1960 GA-247CONN, Byron, GA 31008",(478) 654-2000
65,Navicent Health Baldwin,"821 N Cobb St, Milledgeville, GA 31061",(478) 776-4000
66,"Medical Center, Navicent Health","777 Hemlock St, Macon, GA 31201",(478) 633-1000
67,Houston Medical Center,"1601 Watson Blvd, Warner Robins, GA 31093",(478) 922-4281
68,Taylor Regional Hospital,"222 Perry Hwy, Hawkinsville, GA 31036",(478) 783-0200
69,Jasper Memorial Hospital,"898 College St, Monticello, GA 31064",(706) 468-8826
70,Putnam General Hospital,"101 Lake Oconee Pkwy, Eatonton, GA 31024",(706) 485-2711
71,Monroe County Hospital,"88 Martin Luther King Jr Dr, Forsyth, GA 31029",(478) 994-2521
72,Bleckley Memorial Hospital,"145 Peacock St, Cochran, GA 31014",(478) 934-6211
73,Washington County Regional Medical Center,"610 Sparta Rd, Sandersville, GA 31082",(478) 240-2000
74,Bleckley Memorial Hospital,"145 Peacock St, Cochran, GA 31014",(478) 934-6211
75,Regency Hospital of Central Georgia,"700 Spring St, Macon, GA 31201",(478) 633-8260
76,Burke Medical Center,"351 S Liberty St, Waynesboro, GA 30830",(706) 554-4435
77,Doctors Hospital,"3651 Wheeler Rd, Augusta, GA 30909",(706) 651-3232
78,Augusta University Medical Center,"1120 15th St, Augusta, GA 30912",(706) 721-2273
79,Emanuel Medical Center,"117 Kight Rd, Swainsboro, GA 30401",(478) 289-1100
80,Jenkins County Medical Center,"931 E Winthrope Ave, Millen, GA 30442",(478) 982-4221
81,University Hospital,"1350 Walton Way, Augusta, GA 30901",(706) 722-9011
82,University Hospital-Summerville,"2260 Wrightsboro Rd, Augusta, GA 30904",(706) 481-7000
83,University Hospital-McDuffie,"2460 Washington Rd, Thomson, GA 30824",(706) 595-1411
84,Optim Medical Screven,"215 Mims Rd, Sylvania, GA 30467",(912) 564-7426
85,Wills Memorial Hospital,"120 Gordon St, Washington, GA 30673",(706) 678-2151
86,Jefferson Hospital,"1067 Peachtree St, Louisville, GA 30434",(478) 625-7000
87,Piedmont Columbus Regional - Midtown Camp,"710 Center St, Columbus, GA 31901",(706) 571-1000
88,Piedmont Columbus Regional - Northside,"100 Frist Ct, Columbus, GA 31909",(706) 494-2100
89,St. Francis Hospital,"2122 Manchester Expy, Midland, GA 31820",(706) 320-2739
90,Flint River Hospital,"509 Sumter St, Montezuma, GA 31063",(478) 472-3100
91,Southwest Ga Regional Medical Center,"361 Randolph St, Cuthbert, GA 39840",(229) 732-2181
92,Miller County Hospital,"208 N Cuthbert St, Colquitt, GA 39837",(229) 758-3304
93,Colquitt Regional Regional Medical Center,"3131 S Main St, Moultrie, GA 31768",(229) 985-3420
94,John D. Archbold Memorial Hospital,"915 Gordon Ave, Thomasville, GA 31792",(229) 228-2000
